"sid","dv_type","card","guess","response","trial_type","card_type","guess_type","feedback","age_year","age_category"
"R_21BdkF8R9ZanrJX","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_2P23t9YYcr6XcfU","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_3nvCocoP1SdFoXO","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_2DY98iH4PxKnnCs","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_u9BtpXjv7Q0aWRz","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_2eWmnTzo3hfQfhi","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_1q8Jj6MrnfvsOOo","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_1mz7476FjMDNmIa","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_2rwppFqH2ONuqON","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_2awoOh0L5Lq4dj4","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_Bsuwbh4sgB76p5n","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_sBEJh6Ax8aCVGwh","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_5j9hLQZtwwDdVZv","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_1JKiNlOvl2mVmBL","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_3HzZQisMxCV4Q9Y","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_3lPlz5r8FjllBy4","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_bgCAAUyoTvV5LX3","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_2fKfngu9iRlAbo1","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_1JKq02hBBUASEpb","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_1Fs7Qm16OKUt2HC","2","DOG","dog","Right","X.X","X","X",NA,NA,"Adults"
"R_wMpePBM9JwpiUE1","2","CAT","cat","Right","X.X","X","X",NA,NA,"Adults"
