"card","guess","response","feedback","sid","trial_type","card_type","guess_type","age_category","dv_type","age_year"
"CAT","elephant","Wrong","Judgement","11-10-16_1.csv","X.Z","X","Z","Children",3,4.55068493150685
"DOG-ELE","dog","Kinda Right","None","11-10-16_1.csv","XY.X","XY","X","Children",3,4.55068493150685
"DOG","dog","Right","Judgement","11-10-16_1.csv","X.X","X","X","Children",3,4.55068493150685
"DOG","dog or elephant","Right","Description","11-10-16_1.csv","X.XorY","X","XorY","Children",3,4.55068493150685
"CAT-DOG","cat and dog","Right","None","11-10-16_1.csv","XY.XandY","XY","XandY","Children",3,4.55068493150685
"CAT-DOG","elephant","Wrong","Judgement","11-10-16_1.csv","XY.Z","XY","Z","Children",3,4.55068493150685
"DOG-ELE","dog or elephant","Right","Description","11-10-16_1.csv","XY.XorY","XY","XorY","Children",3,4.55068493150685
"CAT","cat and elephant","Kinda Right","None","11-10-16_1.csv","X.XandY","X","XandY","Children",3,4.55068493150685
"ELE","cat","Wrong","Judgement","11-10-16_1.csv","X.Z","X","Z","Children",3,4.55068493150685
"CAT","cat","Right","None","11-10-16_1.csv","X.X","X","X","Children",3,4.55068493150685
"DOG-ELE","cat","Wrong","Judgement","11-10-16_1.csv","XY.Z","XY","Z","Children",3,4.55068493150685
"CAT-ELE","cat and elephant","Right","Judgement","11-10-16_1.csv","XY.XandY","XY","XandY","Children",3,4.55068493150685
"CAT-DOG","dog","Kinda Right","Judgement","11-10-16_1.csv","XY.X","XY","X","Children",3,4.55068493150685
"DOG","cat or dog","Right","Description","11-10-16_1.csv","X.XorY","X","XorY","Children",3,4.55068493150685
"ELE","dog and elephant","Kinda Right","None","11-10-16_1.csv","X.XandY","X","XandY","Children",3,4.55068493150685
"CAT-ELE","cat or elephant","Kinda Right","Correction","11-10-16_1.csv","XY.XorY","XY","XorY","Children",3,4.55068493150685
"DOG-ELE","elephant","Kinda Right","Correction","11-10-16_2.csv","XY.X","XY","X","Children",3,4.37260273972603
"ELE","elephant","Right","Judgement","11-10-16_2.csv","X.X","X","X","Children",3,4.37260273972603
"DOG","elephant","Wrong","Description","11-10-16_2.csv","X.Z","X","Z","Children",3,4.37260273972603
"CAT-ELE","dog","Wrong","Description","11-10-16_2.csv","XY.Z","XY","Z","Children",3,4.37260273972603
"DOG-ELE","dog and elephant","Right","Judgement","11-10-16_2.csv","XY.XandY","XY","XandY","Children",3,4.37260273972603
"ELE","cat and elephant","Wrong","Correction","11-10-16_2.csv","X.XandY","X","XandY","Children",3,4.37260273972603
"CAT-DOG","cat or dog","Right","None","11-10-16_2.csv","XY.XorY","XY","XorY","Children",3,4.37260273972603
"ELE","dog or elephant","Wrong","Correction","11-10-16_2.csv","X.XorY","X","XorY","Children",3,4.37260273972603
"DOG","dog","Right","Judgement","11-10-16_2.csv","X.X","X","X","Children",3,4.37260273972603
"DOG","dog and elephant","Wrong","None","11-10-16_2.csv","X.XandY","X","XandY","Children",3,4.37260273972603
"CAT-ELE","elephant","Kinda Right","Judgement","11-10-16_2.csv","XY.X","XY","X","Children",3,4.37260273972603
"CAT-DOG","elephant","Wrong","Judgement","11-10-16_2.csv","XY.Z","XY","Z","Children",3,4.37260273972603
"DOG-ELE","dog or elephant","Right","Correction","11-10-16_2.csv","XY.XorY","XY","XorY","Children",3,4.37260273972603
"DOG","cat","Wrong","Description","11-10-16_2.csv","X.Z","X","Z","Children",3,4.37260273972603
"CAT-DOG","cat and dog","Right","Correction","11-10-16_2.csv","XY.XandY","XY","XandY","Children",3,4.37260273972603
"CAT","cat or elephant","Kinda Right","Description","11-10-16_2.csv","X.XorY","X","XorY","Children",3,4.37260273972603
"CAT-DOG","cat","Kinda Right","Description","11-10-16_3.csv","XY.X","XY","X","Children",3,5.04383561643836
"DOG","dog","Right","Judgement","11-10-16_3.csv","X.X","X","X","Children",3,5.04383561643836
"CAT","dog","Wrong","Description","11-10-16_3.csv","X.Z","X","Z","Children",3,5.04383561643836
"CAT-ELE","cat and elephant","Right","Description","11-10-16_3.csv","XY.XandY","XY","XandY","Children",3,5.04383561643836
"CAT-DOG","elephant","Wrong","Description","11-10-16_3.csv","XY.Z","XY","Z","Children",3,5.04383561643836
"CAT-DOG","cat or dog","Right","Correction","11-10-16_3.csv","XY.XorY","XY","XorY","Children",3,5.04383561643836
"CAT","cat and dog","Kinda Right","Description","11-10-16_3.csv","X.XandY","X","XandY","Children",3,5.04383561643836
"DOG","dog or elephant","Right","Description","11-10-16_3.csv","X.XorY","X","XorY","Children",3,5.04383561643836
"ELE","dog","Kinda Right","Description","11-10-16_3.csv","X.Z","X","Z","Children",3,5.04383561643836
"DOG-ELE","cat","Wrong","None","11-10-16_3.csv","XY.Z","XY","Z","Children",3,5.04383561643836
"CAT-DOG","cat and dog","Right","Description","11-10-16_3.csv","XY.XandY","XY","XandY","Children",3,5.04383561643836
"ELE","dog and elephant","Kinda Right","Description","11-10-16_3.csv","X.XandY","X","XandY","Children",3,5.04383561643836
"ELE","elephant","Right","Judgement","11-10-16_3.csv","X.X","X","X","Children",3,5.04383561643836
"DOG","cat or dog","Kinda Right","Description","11-10-16_3.csv","X.XorY","X","XorY","Children",3,5.04383561643836
"DOG-ELE","dog or elephant","Right","Correction","11-10-16_3.csv","XY.XorY","XY","XorY","Children",3,5.04383561643836
"DOG-ELE","dog","Kinda Right","Judgement","11-10-16_3.csv","XY.X","XY","X","Children",3,5.04383561643836
"CAT-DOG","dog","Wrong","None","11-10-16_4.csv","XY.X","XY","X","Children",3,3.93972602739726
"CAT","cat","Kinda Right","None","11-10-16_4.csv","X.X","X","X","Children",3,3.93972602739726
"ELE","cat","Wrong","None","11-10-16_4.csv","X.Z","X","Z","Children",3,3.93972602739726
"CAT-ELE","dog","Wrong","Description","11-10-16_4.csv","XY.Z","XY","Z","Children",3,3.93972602739726
"ELE","cat and elephant","Wrong","Judgement","11-10-16_4.csv","X.XandY","X","XandY","Children",3,3.93972602739726
"DOG-ELE","dog and elephant","Kinda Right","None","11-10-16_4.csv","XY.XandY","XY","XandY","Children",3,3.93972602739726
"CAT-ELE","cat or elephant","Wrong","None","11-10-16_4.csv","XY.XorY","XY","XorY","Children",3,3.93972602739726
"ELE","cat or elephant","Wrong","None","11-10-16_4.csv","X.XorY","X","XorY","Children",3,3.93972602739726
"CAT-ELE","cat or elephant","Wrong","None","11-10-16_4.csv","XY.XorY","XY","XorY","Children",3,3.93972602739726
"DOG","dog","Kinda Right","Judgement","11-10-16_4.csv","X.X","X","X","Children",3,3.93972602739726
"CAT","cat or dog","Wrong","None","11-10-16_4.csv","X.XorY","X","XorY","Children",3,3.93972602739726
"CAT-ELE","cat and elephant","Kinda Right","None","11-10-16_4.csv","XY.XandY","XY","XandY","Children",3,3.93972602739726
"DOG-ELE","cat","Wrong","Judgement","11-10-16_4.csv","XY.Z","XY","Z","Children",3,3.93972602739726
"DOG","dog and elephant","Wrong","Judgement","11-10-16_4.csv","X.XandY","X","XandY","Children",3,3.93972602739726
"DOG","cat",NA,NA,"11-10-16_4.csv","X.Z","X","Z","Children",3,3.93972602739726
"CAT-ELE","elephant","Wrong","Judgement","11-10-16_4.csv","XY.X","XY","X","Children",3,3.93972602739726
"DOG-ELE","elephant","Kinda Right","None","11-10-16_5.csv","XY.X","XY","X","Children",3,3.4
"CAT","elephant","Wrong","None","11-10-16_5.csv","X.Z","X","Z","Children",3,3.4
"ELE","elephant","Right","None","11-10-16_5.csv","X.X","X","X","Children",3,3.4
"CAT-DOG","cat or dog","Right","Description","11-10-16_5.csv","XY.XorY","XY","XorY","Children",3,3.4
"CAT-ELE","dog","Wrong","None","11-10-16_5.csv","XY.Z","XY","Z","Children",3,3.4
"CAT","cat and elephant","Right","Description","11-10-16_5.csv","X.XandY","X","XandY","Children",3,3.4
"CAT","cat or elephant","Right","Description","11-10-16_5.csv","X.XorY","X","XorY","Children",3,3.4
"CAT-DOG","cat and dog","Right","Description","11-10-16_5.csv","XY.XandY","XY","XandY","Children",3,3.4
"DOG-ELE","dog or elephant","Right","Correction","11-10-16_5.csv","XY.XorY","XY","XorY","Children",3,3.4
"CAT-DOG","elephant","Wrong","None","11-10-16_5.csv","XY.Z","XY","Z","Children",3,3.4
"DOG-ELE","dog and elephant","Right","Judgement","11-10-16_5.csv","XY.XandY","XY","XandY","Children",3,3.4
"DOG","cat and dog","Right","None","11-10-16_5.csv","X.XandY","X","XandY","Children",3,3.4
"ELE","dog or elephant","Right","Description","11-10-16_5.csv","X.XorY","X","XorY","Children",3,3.4
"CAT-ELE","cat","Right","Description","11-10-16_5.csv","XY.X","XY","X","Children",3,3.4
"DOG","elephant","Wrong","None","11-10-16_5.csv","X.Z","X","Z","Children",3,3.4
"CAT","cat","Right","Judgement","11-10-16_5.csv","X.X","X","X","Children",3,3.4
"CAT","cat","Right","Description","11-10-16_6.csv","X.X","X","X","Children",3,4.27397260273973
"ELE","cat","Wrong","Description","11-10-16_6.csv","X.Z","X","Z","Children",3,4.27397260273973
"CAT-ELE","cat","Kinda Right","Correction","11-10-16_6.csv","XY.X","XY","X","Children",3,4.27397260273973
"CAT","cat or elephant","Right","Description","11-10-16_6.csv","X.XorY","X","XorY","Children",3,4.27397260273973
"CAT-DOG","cat and dog","Right","Description","11-10-16_6.csv","XY.XandY","XY","XandY","Children",3,4.27397260273973
"CAT-DOG","cat or dog","Right","Description","11-10-16_6.csv","XY.XorY","XY","XorY","Children",3,4.27397260273973
"CAT-DOG","elephant","Wrong","Description","11-10-16_6.csv","XY.Z","XY","Z","Children",3,4.27397260273973
"CAT","cat and dog","Kinda Right","Description","11-10-16_6.csv","X.XandY","X","XandY","Children",3,4.27397260273973
"DOG-ELE","dog","Kinda Right","Description","11-10-16_6.csv","XY.X","XY","X","Children",3,4.27397260273973
"CAT","cat or dog","Kinda Right","Description","11-10-16_6.csv","X.XorY","X","XorY","Children",3,4.27397260273973
"DOG","elephant","Wrong","Description","11-10-16_6.csv","X.Z","X","Z","Children",3,4.27397260273973
"DOG","cat and dog","Kinda Right","Correction","11-10-16_6.csv","X.XandY","X","XandY","Children",3,4.27397260273973
"DOG-ELE","cat","Wrong","Description","11-10-16_6.csv","XY.Z","XY","Z","Children",3,4.27397260273973
"ELE","elephant","Right","Description","11-10-16_6.csv","X.X","X","X","Children",3,4.27397260273973
"DOG-ELE","dog and elephant","Right","Description","11-10-16_6.csv","XY.XandY","XY","XandY","Children",3,4.27397260273973
"DOG-ELE","dog or elephant","Kinda Right","Correction","11-10-16_6.csv","XY.XorY","XY","XorY","Children",3,4.27397260273973
"CAT-DOG","cat","Kinda Right","None","11-16-16_1.csv","XY.X","XY","X","Children",3,4.27671232876712
"DOG","dog","Right","Judgement","11-16-16_1.csv","X.X","X","X","Children",3,4.27671232876712
"CAT","elephant","Wrong","Judgement","11-16-16_1.csv","X.Z","X","Z","Children",3,4.27671232876712
"CAT-ELE","cat and elephant","Right","Judgement","11-16-16_1.csv","XY.XandY","XY","XandY","Children",3,4.27671232876712
"DOG","cat or dog","Right","Description","11-16-16_1.csv","X.XorY","X","XorY","Children",3,4.27671232876712
"CAT-ELE","dog","Wrong","Description","11-16-16_1.csv","XY.Z","XY","Z","Children",3,4.27671232876712
"ELE","dog and elephant","Wrong","Judgement","11-16-16_1.csv","X.XandY","X","XandY","Children",3,4.27671232876712
"CAT-ELE","cat or elephant","Right","Correction","11-16-16_1.csv","XY.XorY","XY","XorY","Children",3,4.27671232876712
"DOG-ELE","dog or elephant","Right","Correction","11-16-16_1.csv","XY.XorY","XY","XorY","Children",3,4.27671232876712
"DOG","dog or elephant","Right","Description","11-16-16_1.csv","X.XorY","X","XorY","Children",3,4.27671232876712
"ELE","dog","Wrong","Judgement","11-16-16_1.csv","X.Z","X","Z","Children",3,4.27671232876712
"ELE","elephant","Right","Judgement","11-16-16_1.csv","X.X","X","X","Children",3,4.27671232876712
"CAT-DOG","elephant","Wrong","Judgement","11-16-16_1.csv","XY.Z","XY","Z","Children",3,4.27671232876712
"DOG-ELE","dog and elephant","Right","Judgement","11-16-16_1.csv","XY.XandY","XY","XandY","Children",3,4.27671232876712
"CAT-ELE","elephant","Wrong","Judgement","11-16-16_1.csv","XY.X","XY","X","Children",3,4.27671232876712
"ELE","cat and elephant","Wrong","Judgement","11-16-16_1.csv","X.XandY","X","XandY","Children",3,4.27671232876712
"DOG-ELE","elephant","Right","Description","11-16-16_2.csv","XY.X","XY","X","Children",3,3.35616438356164
"CAT","cat","Right","Description","11-16-16_2.csv","X.X","X","X","Children",3,3.35616438356164
"DOG","cat","Wrong","Description","11-16-16_2.csv","X.Z","X","Z","Children",3,3.35616438356164
"CAT-ELE","cat or elephant","Right","Description","11-16-16_2.csv","XY.XorY","XY","XorY","Children",3,3.35616438356164
"ELE","cat or elephant","Right","Description","11-16-16_2.csv","X.XorY","X","XorY","Children",3,3.35616438356164
"CAT-ELE","cat and elephant","Right","Description","11-16-16_2.csv","XY.XandY","XY","XandY","Children",3,3.35616438356164
"DOG-ELE","cat","Wrong","Description","11-16-16_2.csv","XY.Z","XY","Z","Children",3,3.35616438356164
"CAT","cat and elephant","Right","Description","11-16-16_2.csv","X.XandY","X","XandY","Children",3,3.35616438356164
"CAT-DOG","dog","Right","Description","11-16-16_2.csv","XY.X","XY","X","Children",3,3.35616438356164
"CAT-ELE","dog","Wrong","Description","11-16-16_2.csv","XY.Z","XY","Z","Children",3,3.35616438356164
"DOG","dog and elephant","Wrong","Description","11-16-16_2.csv","X.XandY","X","XandY","Children",3,3.35616438356164
"CAT-DOG","cat or dog","Right","Description","11-16-16_2.csv","XY.XorY","XY","XorY","Children",3,3.35616438356164
"ELE","dog or elephant","Wrong","Correction","11-16-16_2.csv","X.XorY","X","XorY","Children",3,3.35616438356164
"CAT","dog","Wrong","Description","11-16-16_2.csv","X.Z","X","Z","Children",3,3.35616438356164
"CAT-DOG","cat and dog","Right","Description","11-16-16_2.csv","XY.XandY","XY","XandY","Children",3,3.35616438356164
"DOG","dog","Right","Description","11-16-16_2.csv","X.X","X","X","Children",3,3.35616438356164
"DOG","dog","Right","Judgement","11-16-16_3.csv","X.X","X","X","Children",3,4.7972602739726
"DOG-ELE","elephant","Kinda Right","Description","11-16-16_3.csv","XY.X","XY","X","Children",3,4.7972602739726
"ELE","dog","Wrong","Description","11-16-16_3.csv","X.Z","X","Z","Children",3,4.7972602739726
"ELE","cat or elephant","Right","Description","11-16-16_3.csv","X.XorY","X","XorY","Children",3,4.7972602739726
"DOG-ELE","dog or elephant","Kinda Right","Description","11-16-16_3.csv","XY.XorY","XY","XorY","Children",3,4.7972602739726
"CAT-DOG","cat and dog","Right","Description","11-16-16_3.csv","XY.XandY","XY","XandY","Children",3,4.7972602739726
"DOG","dog and elephant","Kinda Right","Judgement","11-16-16_3.csv","X.XandY","X","XandY","Children",3,4.7972602739726
"CAT-ELE","dog","Wrong","None","11-16-16_3.csv","XY.Z","XY","Z","Children",3,4.7972602739726
"CAT-DOG","cat","Kinda Right","Description","11-16-16_3.csv","XY.X","XY","X","Children",3,4.7972602739726
"CAT-DOG","cat or dog","Kinda Right","Judgement","11-16-16_3.csv","XY.XorY","XY","XorY","Children",3,4.7972602739726
"ELE","elephant","Right","Judgement","11-16-16_3.csv","X.X","X","X","Children",3,4.7972602739726
"CAT-DOG","elephant","Wrong","None","11-16-16_3.csv","XY.Z","XY","Z","Children",3,4.7972602739726
"DOG","cat or dog","Right","None","11-16-16_3.csv","X.XorY","X","XorY","Children",3,4.7972602739726
"DOG","cat and dog","Wrong","None","11-16-16_3.csv","X.XandY","X","XandY","Children",3,4.7972602739726
"DOG-ELE","dog and elephant","Right","Description","11-16-16_3.csv","XY.XandY","XY","XandY","Children",3,4.7972602739726
"DOG","cat","Wrong","Description","11-16-16_3.csv","X.Z","X","Z","Children",3,4.7972602739726
"CAT-DOG","dog","Right","Description","11-16-16_4.csv","XY.X","XY","X","Children",3,4.51780821917808
"CAT","elephant","Kinda Right","Description","11-16-16_4.csv","X.Z","X","Z","Children",3,4.51780821917808
"CAT","cat","Right","Judgement","11-16-16_4.csv","X.X","X","X","Children",3,4.51780821917808
"CAT-ELE","cat and elephant","Right","Judgement","11-16-16_4.csv","XY.XandY","XY","XandY","Children",3,4.51780821917808
"CAT-ELE","cat or elephant","Right","Description","11-16-16_4.csv","XY.XorY","XY","XorY","Children",3,4.51780821917808
"DOG","dog or elephant","Right","Description","11-16-16_4.csv","X.XorY","X","XorY","Children",3,4.51780821917808
"ELE","dog and elephant","Right","Description","11-16-16_4.csv","X.XandY","X","XandY","Children",3,4.51780821917808
"DOG-ELE","cat","Kinda Right","Description","11-16-16_4.csv","XY.Z","XY","Z","Children",3,4.51780821917808
"DOG-ELE","dog","Right","Description","11-16-16_4.csv","XY.X","XY","X","Children",3,4.51780821917808
"DOG","elephant","Kinda Right","Description","11-16-16_4.csv","X.Z","X","Z","Children",3,4.51780821917808
"DOG-ELE","dog or elephant","Right","Correction","11-16-16_4.csv","XY.XorY","XY","XorY","Children",3,4.51780821917808
"CAT","cat and elephant","Kinda Right","Correction","11-16-16_4.csv","X.XandY","X","XandY","Children",3,4.51780821917808
"CAT","cat or dog","Right","Description","11-16-16_4.csv","X.XorY","X","XorY","Children",3,4.51780821917808
"CAT-ELE","cat and elephant","Right","Judgement","11-16-16_4.csv","XY.XandY","XY","XandY","Children",3,4.51780821917808
"CAT-DOG","elephant","Kinda Right","Judgement","11-16-16_4.csv","XY.Z","XY","Z","Children",3,4.51780821917808
"ELE","elephant","Right","Judgement","11-16-16_4.csv","X.X","X","X","Children",3,4.51780821917808
"CAT-ELE","cat","Kinda Right","None","11-16-16_5.csv","XY.X","XY","X","Children",3,3.8958904109589
"CAT","dog","Wrong","Judgement","11-16-16_5.csv","X.Z","X","Z","Children",3,3.8958904109589
"DOG","dog","Right","Judgement","11-16-16_5.csv","X.X","X","X","Children",3,3.8958904109589
"CAT","cat or elephant","Right","Judgement","11-16-16_5.csv","X.XorY","X","XorY","Children",3,3.8958904109589
"DOG-ELE","dog and elephant","Right","None","11-16-16_5.csv","XY.XandY","XY","XandY","Children",3,3.8958904109589
"CAT-DOG","cat or dog","Right","None","11-16-16_5.csv","XY.XorY","XY","XorY","Children",3,3.8958904109589
"ELE","cat and elephant","Kinda Right","Correction","11-16-16_5.csv","X.XandY","X","XandY","Children",3,3.8958904109589
"DOG-ELE","cat","Wrong","Judgement","11-16-16_5.csv","XY.Z","XY","Z","Children",3,3.8958904109589
"CAT","cat and dog","Kinda Right","Correction","11-16-16_5.csv","X.XandY","X","XandY","Children",3,3.8958904109589
