"order","trial_type","card_type","guess_type","card","guess","sid","age","feedback","judgment","correction","response","critical","dv_type","age_category"
1,"X.X","X","X","DOG","dog","2017-05-31-13-36",1657,"J","Y","0","Yes",0,2,"Children"
2,"X.Z","X","Z","ELE","cat","2017-05-31-13-36",1657,"J","N","0","No",0,2,"Children"
3,"XY.X","XY","X","CAT-DOG","cat","2017-05-31-13-36",1657,"C","0","I",NA,0,2,"Children"
4,"X.XandY","X","XandY","ELE","cat and elephant","2017-05-31-13-36",1657,"C","N","E","No",1,2,"Children"
5,"X.XandY","X","XandY","CAT","cat and elephant","2017-05-31-13-36",1657,"C","N","E","No",1,2,"Children"
6,"XY.X","XY","X","CAT-ELE","cat","2017-05-31-13-36",1657,"J","Y","0","Yes",0,2,"Children"
7,"X.X","X","X","ELE","elephant","2017-05-31-13-36",1657,"J","Y","0","Yes",0,2,"Children"
8,"XY.XandY","XY","XandY","CAT-ELE","cat and elephant","2017-05-31-13-36",1657,"J","Y","0","Yes",1,2,"Children"
9,"X.XorY","X","XorY","CAT","cat or dog","2017-05-31-13-36",1657,"D","0","0","Yes",1,2,"Children"
10,"XY.Z","XY","Z","CAT-DOG","elephant","2017-05-31-13-36",1657,"J","N","0","No",0,2,"Children"
11,"XY.Z","XY","Z","DOG-ELE","cat","2017-05-31-13-36",1657,"J","N","0","No",0,2,"Children"
12,"XY.XorY","XY","XorY","CAT-ELE","cat or elephant","2017-05-31-13-36",1657,"C","0","I","Yes",1,2,"Children"
13,"X.XorY","X","XorY","ELE","dog or elephant","2017-05-31-13-36",1657,"D","Y","0","Yes",1,2,"Children"
14,"XY.XandY","XY","XandY","DOG-ELE","dog and elephant","2017-05-31-13-36",1657,"J","Y","0","Yes",1,2,"Children"
15,"X.Z","X","Z","ELE","dog","2017-05-31-13-36",1657,"J","N","0","No",0,2,"Children"
16,"XY.XorY","XY","XorY","DOG-ELE","dog or elephant","2017-05-31-13-36",1657,"C","0","I","Yes",1,2,"Children"
1,"X.X","X","X","DOG","dog","2017-06-01-14-2",1945,"J","Y","0","Yes",0,2,"Children"
2,"X.Z","X","Z","DOG","elephant","2017-06-01-14-2",1945,"D","N","0","No",0,2,"Children"
3,"XY.X","XY","X","CAT-ELE","elephant","2017-06-01-14-2",1945,"C","Y","I","Yes",0,2,"Children"
4,"X.XorY","X","XorY","CAT","cat or dog","2017-06-01-14-2",1945,"D","0","0",NA,1,2,"Children"
5,"X.XorY","X","XorY","DOG","dog or elephant","2017-06-01-14-2",1945,"D","0","0",NA,1,2,"Children"
6,"X.XandY","X","XandY","ELE","cat and elephant","2017-06-01-14-2",1945,"J","N","0","No",1,2,"Children"
